date,value
8/13/2013,109.35
8/14/2013,115
8/15/2013,113.25
8/16/2013,112.3
8/17/2013,113.75
8/18/2013,114.69
8/19/2013,123.06
8/20/2013,123.01
8/21/2013,124.91
8/22/2013,123.5
8/23/2013,122
8/24/2013,121.39
8/25/2013,122.99
8/26/2013,122.75
8/27/2013,127.24
8/28/2013,127.32
8/29/2013,123.7
8/30/2013,135.75
8/31/2013,140.89
9/1/2013,145.81
9/2/2013,146.5
9/3/2013,138.34
9/4/2013,144.5
9/5/2013,131.44
9/6/2013,127.34
9/7/2013,125.94
9/8/2013,124.72
9/9/2013,129.06
9/10/2013,129.74
9/11/2013,137.83
9/12/2013,136.08
9/13/2013,137.58
9/14/2013,135.85
9/15/2013,131.44
9/16/2013,132.72
9/17/2013,132.76
9/18/2013,133.2
9/19/2013,131.77
9/20/2013,135.62
9/21/2013,128.61
9/22/2013,133.94
9/23/2013,132.72
9/24/2013,127.46
9/25/2013,129.69
9/26/2013,134.93
9/27/2013,134.74
9/28/2013,135.63
9/29/2013,140.61
9/30/2013,138.35
10/1/2013,134.63
10/2/2013,133.59
10/3/2013,123.63
10/4/2013,130.09
10/5/2013,130.44
10/6/2013,129.66
10/7/2013,130.27
10/8/2013,127.47
10/9/2013,131.75
10/10/2013,131.5
10/11/2013,131.81
10/12/2013,135.66
10/13/2013,138.66
10/14/2013,144.12
10/15/2013,145.39
10/16/2013,152.23
10/17/2013,147.42
10/18/2013,155.96
10/19/2013,177.48
10/20/2013,174.91
10/21/2013,184.82
10/22/2013,196.27
10/23/2013,213.62
10/24/2013,217.42
10/25/2013,198.87
10/26/2013,188.41
10/27/2013,196.44
10/28/2013,198.62
10/29/2013,204.79
10/30/2013,209.16
10/31/2013,205.18
11/1/2013,206.65
11/2/2013,207.76
11/3/2013,215.05
11/4/2013,231.01
11/5/2013,250.66
11/6/2013,263
11/7/2013,304.17
11/8/2013,338.66
11/9/2013,370.82
11/10/2013,350.7
11/11/2013,351.27
11/12/2013,362.81
11/13/2013,414.05
11/14/2013,425.9
11/15/2013,437.89
11/16/2013,450.26
11/17/2013,500.58
11/18/2013,703.78
11/19/2013,806.11
11/20/2013,599.65
11/21/2013,733.4
11/22/2013,780.85
11/23/2013,844.97
11/24/2013,807.36
11/25/2013,810.68
11/26/2013,928.54
11/27/2013,1001.96
11/28/2013,1077.56
11/29/2013,1146.97
11/30/2013,1156.14
12/1/2013,1133.08
12/2/2013,1055.42
12/3/2013,1096
12/4/2013,1156.12
12/5/2013,1154.36
12/6/2013,1042.38
12/7/2013,854.64
12/8/2013,802.51
12/9/2013,921.93
12/10/2013,997.23
12/11/2013,1001.58
12/12/2013,901.94
12/13/2013,941.79
12/14/2013,904.65
12/15/2013,886.16
12/16/2013,882.25
12/17/2013,754.83
12/18/2013,679.32
12/19/2013,707.23
12/20/2013,729.16
12/21/2013,654.27
12/22/2013,666.74
12/23/2013,680.91
12/24/2013,684.39
12/25/2013,682.7
12/26/2013,777.75
12/27/2013,777.51
12/28/2013,747.06
12/29/2013,748.61
12/30/2013,766.6
12/31/2013,760.58
1/1/2014,775.35
1/2/2014,820.31
1/3/2014,834.15
1/4/2014,859.51
1/5/2014,952.4
1/6/2014,1017.12
1/7/2014,965.74
1/8/2014,870.68
1/9/2014,864.36
1/10/2014,871.19
1/11/2014,921.48
1/12/2014,928.52
1/13/2014,861.29
1/14/2014,855.69
1/15/2014,872.81
1/16/2014,866.16
1/17/2014,842.91
1/18/2014,841.49
1/19/2014,870.96
1/20/2014,886.39
1/21/2014,881.2
1/22/2014,870.15
1/23/2014,851.57
1/24/2014,822.43
1/25/2014,861.45
1/26/2014,897.02
1/27/2014,893
1/28/2014,832.5
1/29/2014,836.87
1/30/2014,830.5
1/31/2014,831.87
2/1/2014,853.52
2/2/2014,844.72
2/3/2014,826.48
2/4/2014,840.17
2/5/2014,837.32
2/6/2014,819.81
2/7/2014,783.2
2/8/2014,721.82
2/9/2014,712.27
2/10/2014,703.71
2/11/2014,712.46
2/12/2014,672.9
2/13/2014,657.99
2/14/2014,691.72
2/15/2014,661.84
2/16/2014,665.1
2/17/2014,656.95
2/18/2014,645.76
2/19/2014,631.77
2/20/2014,627.73
2/21/2014,582.96
2/22/2014,614.48
2/23/2014,639.91
2/24/2014,607.61
2/25/2014,541.38
2/26/2014,603.8
2/27/2014,594.05
2/28/2014,584.14
3/1/2014,573.38
3/2/2014,570.48
3/3/2014,702.91
3/4/2014,696.22
3/5/2014,674.28
3/6/2014,669.77
3/7/2014,665.34
3/8/2014,635.14
3/9/2014,643.95
3/10/2014,644.76
3/11/2014,638.42
3/12/2014,648.03
3/13/2014,644.2
3/14/2014,639.53
3/15/2014,639.14
3/16/2014,637.52
3/17/2014,632.68
3/18/2014,622.39
3/19/2014,622
3/20/2014,609.75
3/21/2014,604.59
3/22/2014,572.55
3/23/2014,570.24
3/24/2014,586.56
3/25/2014,585.44
3/26/2014,590.03
3/27/2014,580.56
3/28/2014,526.02
3/29/2014,504.86
3/30/2014,492.37
3/31/2014,483.02
4/1/2014,495.34
4/2/2014,495.05
4/3/2014,449.56
4/4/2014,454.65
4/5/2014,463.57
4/6/2014,466.32
4/7/2014,462.56
4/8/2014,457.42
4/9/2014,455.73
4/10/2014,443.37
4/11/2014,429.77
4/12/2014,439.61
4/13/2014,427.4
4/14/2014,469.75
4/15/2014,519
4/16/2014,542.38
4/17/2014,533.52
4/18/2014,498.6
4/19/2014,503.56
4/20/2014,510.87
4/21/2014,510.57
4/22/2014,503.22
4/23/2014,493.25
4/24/2014,500.46
4/25/2014,500.3
4/26/2014,464.54
4/27/2014,459.33
4/28/2014,447.53
4/29/2014,451.64
4/30/2014,451.1
5/1/2014,460.61
5/2/2014,457.93
5/3/2014,449.4
5/4/2014,439.77
5/5/2014,440.97
5/6/2014,448.04
5/7/2014,446.13
5/8/2014,448.4
5/9/2014,452.69
5/10/2014,455.77
5/11/2014,455.34
5/12/2014,442.26
5/13/2014,441.98
5/14/2014,446.66
5/15/2014,449.8
5/16/2014,450.66
5/17/2014,451.98
5/18/2014,449.77
5/19/2014,447.56
5/20/2014,491.44
5/21/2014,494.37
5/22/2014,525.36
5/23/2014,541.96
5/24/2014,525.17
5/25/2014,576.48
5/26/2014,588.39
5/27/2014,589.52
5/28/2014,578.62
5/29/2014,577.1
5/30/2014,618.46
5/31/2014,624.72
6/1/2014,671.51
6/2/2014,665.5
6/3/2014,674.11
6/4/2014,668.56
6/5/2014,663.53
6/6/2014,661.37
6/7/2014,656.94
6/8/2014,658.88
6/9/2014,657.7
6/10/2014,659.62
6/11/2014,657.04
6/12/2014,638.11
6/13/2014,615.14
6/14/2014,601.27
6/15/2014,592.94
6/16/2014,608.72
6/17/2014,610.89
6/18/2014,615.88
6/19/2014,612.24
6/20/2014,599.75
6/21/2014,599.46
6/22/2014,606
6/23/2014,603.21
6/24/2014,596.97
6/25/2014,583.6
6/26/2014,581.63
6/27/2014,600.12
6/28/2014,604.47
6/29/2014,604.08
6/30/2014,645.15
7/1/2014,657.86
7/2/2014,656.68
7/3/2014,650.77
7/4/2014,648.43
7/5/2014,633.22
7/6/2014,638.65
7/7/2014,637.16
7/8/2014,626.7
7/9/2014,627
7/10/2014,626.12
7/11/2014,632.09
7/12/2014,636.66
7/13/2014,634.73
7/14/2014,627.34
7/15/2014,625.14
7/16/2014,623.09
7/17/2014,626.29
7/18/2014,629.21
7/19/2014,629.17
7/20/2014,628.56
7/21/2014,624.09
7/22/2014,624.3
7/23/2014,624.43
7/24/2014,620.43
7/25/2014,607.07
7/26/2014,602.09
7/27/2014,598.94
7/28/2014,594.57
7/29/2014,588.38
7/30/2014,585.12
7/31/2014,586.24
8/1/2014,597.92
8/2/2014,594.91
8/3/2014,589.15
8/4/2014,591.95
8/5/2014,589.87
8/6/2014,587.49
8/7/2014,591.1
8/8/2014,598.12
8/9/2014,592.47
8/10/2014,594.46
8/11/2014,591.51
8/12/2014,576.95
8/13/2014,573.03
8/14/2014,546.24
8/15/2014,518.18
8/16/2014,521.48
8/17/2014,520.19
8/18/2014,499.37
8/19/2014,485.71
8/20/2014,518.28
8/21/2014,531.9
8/22/2014,521.48
8/23/2014,514.3
8/24/2014,512.89
8/25/2014,508.22
8/26/2014,512.69
8/27/2014,520.71
8/28/2014,516.16
8/29/2014,511.69
8/30/2014,509.31
8/31/2014,504.88
9/1/2014,485.31
9/2/2014,482.99
9/3/2014,481.71
9/4/2014,493.93
9/5/2014,490.64
9/6/2014,488.6
9/7/2014,488.07
9/8/2014,489.83
9/9/2014,477.38
9/10/2014,487.47
9/11/2014,482.35
9/12/2014,479.63
9/13/2014,482.12
9/14/2014,479.85
9/15/2014,478.62
9/16/2014,475.64
9/17/2014,468.17
9/18/2014,456.86
9/19/2014,427.83
9/20/2014,423.3
9/21/2014,412.43
9/22/2014,406.92
9/23/2014,441.56
9/24/2014,436.11
9/25/2014,423.52
9/26/2014,414.94
9/27/2014,406.62
9/28/2014,401.02
9/29/2014,385.21
9/30/2014,390.98
10/1/2014,391.38
10/2/2014,385.5
10/3/2014,377.69
10/4/2014,364.49
10/5/2014,341.8
10/6/2014,345.13
10/7/2014,339.25
10/8/2014,354.36
10/9/2014,382.73
10/10/2014,375.07
10/11/2014,367.19
10/12/2014,379.43
10/13/2014,397.23
10/14/2014,411.7
10/15/2014,402.23
10/16/2014,398.81
10/17/2014,385.48
10/18/2014,395.16
10/19/2014,393.94
10/20/2014,390.08
10/21/2014,392.65
10/22/2014,388.58
10/23/2014,385.05
10/24/2014,364.35
10/25/2014,359.86
10/26/2014,359.22
10/27/2014,358.63
10/28/2014,359.98
10/29/2014,357.83
10/30/2014,350.91
10/31/2014,348.05
11/1/2014,340.53
11/2/2014,329.05
11/3/2014,334
11/4/2014,331.77
11/5/2014,343.37
11/6/2014,352.97
11/7/2014,352.73
11/8/2014,347.03
11/9/2014,363.63
11/10/2014,374.82
11/11/2014,371.31
11/12/2014,429.72
11/13/2014,457.09
11/14/2014,419.25
11/15/2014,405.53
11/16/2014,390.8
11/17/2014,410.2
11/18/2014,392.4
11/19/2014,386.48
11/20/2014,382.02
11/21/2014,357.88
11/22/2014,364.84
11/23/2014,370.85
11/24/2014,387.21
11/25/2014,394.7
11/26/2014,377.7
11/27/2014,373.99
11/28/2014,382.84
11/29/2014,387.6
11/30/2014,382.53
12/1/2014,383.66
12/2/2014,384.04
12/3/2014,383.03
12/4/2014,378.65
12/5/2014,379.19
12/6/2014,378.45
12/7/2014,376.29
12/8/2014,376.03
12/9/2014,363.07
12/10/2014,352.38
12/11/2014,361.36
12/12/2014,352.98
12/13/2014,352.38
12/14/2014,353.32
12/15/2014,351.81
12/16/2014,345.86
12/17/2014,333.95
12/18/2014,323.71
12/19/2014,318.53
12/20/2014,330.32
12/21/2014,329.63
12/22/2014,334.12
12/23/2014,336.29
12/24/2014,334.74
12/25/2014,322.67
12/26/2014,331.42
12/27/2014,328.91
12/28/2014,320.03
12/29/2014,320.27
12/30/2014,314.81
12/31/2014,320.19
1/1/2015,320.44
1/2/2015,315.84
1/3/2015,315.15
1/4/2015,287.23
1/5/2015,278.34
1/6/2015,287.55
1/7/2015,298.75
1/8/2015,294.13
1/9/2015,291.11
1/10/2015,288.13
1/11/2015,279.64
1/12/2015,272.2
1/13/2015,268.28
1/14/2015,223.89
1/15/2015,229.07
1/16/2015,221.59
1/17/2015,211.73
1/18/2015,218.69
1/19/2015,216.73
1/20/2015,215.24
1/21/2015,227.79
1/22/2015,237.02
1/23/2015,234.84
1/24/2015,248.21
1/25/2015,255.07
1/26/2015,309.38
1/27/2015,275.48
1/28/2015,266.54
1/29/2015,238.71
1/30/2015,242.85
1/31/2015,233.5
2/1/2015,231.57
2/2/2015,242.18
2/3/2015,245.96
2/4/2015,230.06
2/5/2015,239.41
2/6/2015,230.51
2/7/2015,230.3
2/8/2015,229.44
2/9/2015,223.98
2/10/2015,221.81
2/11/2015,223.41
2/12/2015,222.2
2/13/2015,240.26
2/14/2015,259.81
2/15/2015,265.61
2/16/2015,239.52
2/17/2015,245.78
2/18/2015,244.25
2/19/2015,242.67
2/20/2015,247.1
2/21/2015,255.32
2/22/2015,246.39
2/23/2015,240.11
2/24/2015,239.9
2/25/2015,239.34
2/26/2015,237.71
2/27/2015,256.65
2/28/2015,254.69
3/1/2015,261.66
3/2/2015,276.3
3/3/2015,285.8
3/4/2015,284.23
3/5/2015,281.67
3/6/2015,277.61
3/7/2015,277.85
3/8/2015,277.86
3/9/2015,292.7
3/10/2015,300.04
3/11/2015,297.39
3/12/2015,297.09
3/13/2015,294.5
3/14/2015,286.34
3/15/2015,286.53
3/16/2015,294.11
3/17/2015,292.37
3/18/2015,285.34
3/19/2015,264.24
3/20/2015,264.85
3/21/2015,262.2
3/22/2015,269.75
3/23/2015,277.3
3/24/2015,267
3/25/2015,249.19
3/26/2015,254.35
3/27/2015,256.81
3/28/2015,254.21
3/29/2015,253.14
3/30/2015,249.24
3/31/2015,248.73
4/1/2015,247.54
4/2/2015,254.46
4/3/2015,256.04
4/4/2015,255.26
4/5/2015,260.68
4/6/2015,261.8
4/7/2015,255.81
4/8/2015,253.85
4/9/2015,246.12
4/10/2015,243.69
4/11/2015,239.54
4/12/2015,237.73
4/13/2015,236.94
4/14/2015,224.98
4/15/2015,223.83
4/16/2015,229.67
4/17/2015,228.91
4/18/2015,224.32
4/19/2015,226.35
4/20/2015,226.35
4/21/2015,235.27
4/22/2015,237.91
4/23/2015,236.47
4/24/2015,236.31
4/25/2015,232.56
4/26/2015,226.94
4/27/2015,233.31
4/28/2015,229.5
4/29/2015,227.04
4/30/2015,239.56
5/1/2015,238.97
5/2/2015,235.73
5/3/2015,243.24
5/4/2015,242.64
5/5/2015,239.2
5/6/2015,236.45
5/7/2015,239.1
5/8/2015,246.28
5/9/2015,247.8
5/10/2015,244.07
5/11/2015,244.27
5/12/2015,242.88
5/13/2015,243.7
5/14/2015,237.8
5/15/2015,238.75
5/16/2015,237.7
5/17/2015,238.03
5/18/2015,237.21
5/19/2015,234.15
5/20/2015,234.68
5/21/2015,236.24
5/22/2015,240.97
5/23/2015,241.03
5/24/2015,241.98
5/25/2015,241.02
5/26/2015,238.24
5/27/2015,238.64
5/28/2015,237.82
5/29/2015,237.52
5/30/2015,237.09
5/31/2015,233.25
6/1/2015,231.71
6/2/2015,226.42
6/3/2015,227.4
6/4/2015,226.58
6/5/2015,225.97
6/6/2015,225.72
6/7/2015,226.19
6/8/2015,229.46
6/9/2015,230.95
6/10/2015,229.78
6/11/2015,230.29
6/12/2015,231.06
6/13/2015,232.65
6/14/2015,234.86
6/15/2015,237.84
6/16/2015,251.74
6/17/2015,256.85
6/18/2015,252.11
6/19/2015,250.98
6/20/2015,245.83
6/21/2015,245.22
6/22/2015,247.92
6/23/2015,247.3
6/24/2015,244.34
6/25/2015,243.33
6/26/2015,243.75
6/27/2015,251.34
6/28/2015,251.17
6/29/2015,257.17
6/30/2015,267.87
7/1/2015,265.17
7/2/2015,261.63
7/3/2015,257.08
7/4/2015,261.46
7/5/2015,274.51
7/6/2015,277.42
7/7/2015,271.34
7/8/2015,272.97
7/9/2015,272.33
7/10/2015,294.59
7/11/2015,298.51
7/12/2015,314.39
7/13/2015,310.95
7/14/2015,296.15
7/15/2015,293.25
7/16/2015,291.18
7/17/2015,280.28
7/18/2015,282.53
7/19/2015,275.67
7/20/2015,278.98
7/21/2015,280.55
7/22/2015,277.67
7/23/2015,278.11
7/24/2015,289.25
7/25/2015,290.73
7/26/2015,293.05
7/27/2015,297.77
7/28/2015,296.65
7/29/2015,294.54
7/30/2015,290.13
7/31/2015,288.96
8/1/2015,284.93
8/2/2015,283.03
8/3/2015,285.47
8/4/2015,285.71
8/5/2015,285.5
8/6/2015,281.91
8/7/2015,280.39
8/8/2015,279.93
8/9/2015,267
8/10/2015,267.03
8/11/2015,270.39
8/12/2015,270.67
8/13/2015,266.23
8/14/2015,267.47
8/15/2015,266.67
8/16/2015,262.44
8/17/2015,260.5
8/18/2015,257.99
8/19/2015,237.41
8/20/2015,237.37
8/21/2015,236.43
8/22/2015,234.96
8/23/2015,232.71
8/24/2015,228.14
8/25/2015,226.32
8/26/2015,231.18
8/27/2015,228.64
8/28/2015,235.22
8/29/2015,233.22
8/30/2015,232.07
8/31/2015,231.96
9/1/2015,231.22
9/2/2015,230.58
9/3/2015,229.6
9/4/2015,230.9
9/5/2015,236.14
9/6/2015,242.91
9/7/2015,242.11
9/8/2015,245.78
9/9/2015,244.42
9/10/2015,241.29
9/11/2015,241.17
9/12/2015,240.12
9/13/2015,235.94
9/14/2015,232.44
9/15/2015,259.18
9/16/2015,231.22
9/17/2015,230.28
9/18/2015,234.35
9/19/2015,233.21
9/20/2015,232.37
9/21/2015,231.22
9/22/2015,232.39
9/23/2015,231.84
9/24/2015,235.65
9/25/2015,237.43
9/26/2015,235.4
9/27/2015,234.53
9/28/2015,239.34
9/29/2015,239.8
9/30/2015,237.73
10/1/2015,238.44
10/2/2015,238.54
10/3/2015,239.31
10/4/2015,238.97
10/5/2015,240.38
10/6/2015,246.94
10/7/2015,246.68
10/8/2015,244.25
10/9/2015,null
10/10/2015,null
10/11/2015,null
10/12/2015,null
10/13/2015,null
10/14/2015,null
10/15/2015,null
10/16/2015,null
10/17/2015,null
10/18/2015,null
10/19/2015,null
10/20/2015,null
10/21/2015,null
10/22/2015,null
10/23/2015,null
10/24/2015,null
10/25/2015,null
10/26/2015,null
10/27/2015,null
10/28/2015,null
10/29/2015,null
10/30/2015,null
10/31/2015,null
11/1/2015,null
11/2/2015,null
11/3/2015,null
11/4/2015,null
11/5/2015,null
11/6/2015,null
11/7/2015,null
11/8/2015,null
11/9/2015,null
11/10/2015,null
11/11/2015,null
11/12/2015,null
11/13/2015,null
11/14/2015,null
11/15/2015,null
11/16/2015,null
11/17/2015,null
11/18/2015,336.53
11/19/2015,335.33
11/20/2015,326.47
11/21/2015,328.16
11/22/2015,327.01
11/23/2015,325.12
11/24/2015,323.06
11/25/2015,329.13
11/26/2015,366.76
11/27/2015,363.59
11/28/2015,359.54
11/29/2015,371.94
11/30/2015,382.36
12/1/2015,378.93
12/2/2015,362.23
12/3/2015,370.27
12/4/2015,363.52
12/5/2015,389.79
12/6/2015,402.81
12/7/2015,399.97
12/8/2015,415.56
12/9/2015,423.12
12/10/2015,419.51
12/11/2015,451.94
12/12/2015,469.1
12/13/2015,441.68
12/14/2015,447.14
12/15/2015,465.32
12/16/2015,465.21
12/17/2015,457.86
12/18/2015,465.18
12/19/2015,465.58
12/20/2015,462.64
12/21/2015,444.73
12/22/2015,443.69
12/23/2015,444.53
12/24/2015,458.46
12/25/2015,458.31
12/26/2015,457.49
12/27/2015,424.01
12/28/2015,429.77
12/29/2015,432.98
12/30/2015,434.39
12/31/2015,432.92
1/1/2016,436.25
1/2/2016,436.06
1/3/2016,433.74
1/4/2016,434.52
1/5/2016,434.18
1/6/2016,431.86
1/7/2016,458.77
1/8/2016,462.93
1/9/2016,454.64
1/10/2016,448.31
1/11/2016,450.66
1/12/2016,448.18
1/13/2016,435.19
1/14/2016,433.32
1/15/2016,430.25
1/16/2016,390.56
1/17/2016,390.96
1/18/2016,388.1
1/19/2016,387.73
1/20/2016,425.27
1/21/2016,422.88
1/22/2016,410.41
1/23/2016,394.54
1/24/2016,405.49
1/25/2016,402.32
1/26/2016,397.77
1/27/2016,396.84
1/28/2016,395.5
1/29/2016,384.38
1/30/2016,380.92
1/31/2016,380.35
2/1/2016,378.07
2/2/2016,375.88
2/3/2016,374.95
2/4/2016,391.61
2/5/2016,391.09
2/6/2016,386.63
2/7/2016,380.87
2/8/2016,379.88
2/9/2016,377.25
2/10/2016,385.48
2/11/2016,383.13
2/12/2016,384.95
2/13/2016,391.86
2/14/2016,407.23
2/15/2016,410.38
2/16/2016,408.94
2/17/2016,421.17
2/18/2016,426
2/19/2016,423.1
2/20/2016,441.98
2/21/2016,448.05
2/22/2016,439.05
2/23/2016,439.86
2/24/2016,425.55
2/25/2016,427.72
2/26/2016,432.15
2/27/2016,434.23
2/28/2016,435.68
2/29/2016,441.51
3/1/2016,439.65
3/2/2016,435.92
3/3/2016,425.37
3/4/2016,425.18
3/5/2016,411.26
3/6/2016,411.91
3/7/2016,415.92
3/8/2016,416.24
3/9/2016,416.03
3/10/2016,417.51
3/11/2016,423.93
3/12/2016,421.8
3/13/2016,416.6
3/14/2016,416.68
3/15/2016,418.13
3/16/2016,417.69
3/17/2016,421
3/18/2016,420.55
3/19/2016,410.98
3/20/2016,414.63
3/21/2016,413.42
3/22/2016,418.38
3/23/2016,419.27
3/24/2016,418.68
3/25/2016,418.08
3/26/2016,418.99
3/27/2016,428.8
3/28/2016,426.86
3/29/2016,426.2
3/30/2016,416.83
3/31/2016,418.37
4/1/2016,418.17
4/2/2016,422.08
4/3/2016,421.58
4/4/2016,422.34
4/5/2016,424.26
4/6/2016,424.53
4/7/2016,423.66
4/8/2016,425.36
4/9/2016,420.89
4/10/2016,422.44
4/11/2016,422.74
4/12/2016,427.28
4/13/2016,426.66
4/14/2016,425.37
4/15/2016,429.93
4/16/2016,432.63
4/17/2016,431.37
4/18/2016,429.27
4/19/2016,436.02
4/20/2016,443.05
4/21/2016,450.55
4/22/2016,449.81
4/23/2016,450.28
4/24/2016,460.15
4/25/2016,466.62
4/26/2016,467.96
4/27/2016,467.08
4/28/2016,449.55
4/29/2016,455.38
4/30/2016,455.59
5/1/2016,452.48
5/2/2016,452.44
5/3/2016,451.1
5/4/2016,450.38
5/5/2016,448.51
5/6/2016,461.38
5/7/2016,460.68
5/8/2016,459.42
5/9/2016,462.48
5/10/2016,461.93
5/11/2016,454.58
5/12/2016,454.95
5/13/2016,457.06
5/14/2016,456.84
5/15/2016,458.69
5/16/2016,458.2
5/17/2016,455.07
5/18/2016,456
5/19/2016,454.63
5/20/2016,444.05
5/21/2016,443.78
5/22/2016,443.43
5/23/2016,444.35
5/24/2016,447.1
5/25/2016,450.3
5/26/2016,453.64
5/27/2016,478.15
5/28/2016,533.47
5/29/2016,553.96
5/30/2016,544.35
5/31/2016,546.62
6/1/2016,543.08
6/2/2016,540.35
6/3/2016,574.64
6/4/2016,590.13
6/5/2016,582.81
6/6/2016,586.47
6/7/2016,590.26
6/8/2016,582.84
6/9/2016,582.2
6/10/2016,579.13
6/11/2016,607.12
6/12/2016,684.84
6/13/2016,716
6/14/2016,704.5
6/15/2016,696.3
6/16/2016,773.72
6/17/2016,775.36
6/18/2016,777.99
6/19/2016,766.62
6/20/2016,764.08
6/21/2016,735.88
6/22/2016,678.67
6/23/2016,629.33
6/24/2016,681.73
6/25/2016,691.73
6/26/2016,665.98
6/27/2016,655.27
6/28/2016,659.25
6/29/2016,644.68
6/30/2016,675.4
7/1/2016,686.15
7/2/2016,703.7
7/3/2016,704.97
7/4/2016,683.66
7/5/2016,683.49
7/6/2016,681.9
7/7/2016,682.43
7/8/2016,666.71
7/9/2016,666.38
7/10/2016,652.29
7/11/2016,659.63
7/12/2016,675.26
7/13/2016,668.7
7/14/2016,662.9
7/15/2016,667.08
7/16/2016,666.46
7/17/2016,682.37
7/18/2016,681.55
7/19/2016,673.28
7/20/2016,672.93
7/21/2016,666.22
7/22/2016,666.58
7/23/2016,656.37
7/24/2016,663.11
7/25/2016,661.83
7/26/2016,656.23
7/27/2016,657.46
7/28/2016,657.6
7/29/2016,657.8
7/30/2016,658.22
7/31/2016,655.28
8/1/2016,626.12
8/2/2016,612.85
8/3/2016,573.36
8/4/2016,579.5
8/5/2016,578.28
8/6/2016,588.4
8/7/2016,597.51
8/8/2016,592.99
8/9/2016,591.09
8/10/2016,599.98
8/11/2016,597.54
8/12/2016,589.91
8/13/2016,589.77
8/14/2016,585.67
8/15/2016,573.58
8/16/2016,581.74
8/17/2016,580.89
8/18/2016,577.79
8/19/2016,578.24
8/20/2016,582.82
8/21/2016,584.16
8/22/2016,588.45
8/23/2016,589.47
8/24/2016,583.59
8/25/2016,580.45
8/26/2016,580.62
8/27/2016,579.85
8/28/2016,574.04
8/29/2016,576.28
8/30/2016,578.36
8/31/2016,577.86
9/1/2016,576.31
9/2/2016,575.64
9/3/2016,599.5
9/4/2016,611.84
9/5/2016,609.05
9/6/2016,610.83
9/7/2016,614.54
9/8/2016,628.77
9/9/2016,626.83
9/10/2016,625.1
9/11/2016,628.82
9/12/2016,608.46
9/13/2016,611.19
9/14/2016,611.95
9/15/2016,611.09
9/16/2016,609.26
9/17/2016,607.86
9/18/2016,610.16
9/19/2016,610.93
9/20/2016,609.52
9/21/2016,603.59
9/22/2016,598.49
9/23/2016,603.21
9/24/2016,604.58
9/25/2016,603.38
9/26/2016,608.14
9/27/2016,608.25
9/28/2016,606.59
9/29/2016,606.82
9/30/2016,609.74
10/1/2016,615.24
10/2/2016,614
10/3/2016,612.57
10/4/2016,612.05
10/5/2016,613.81
10/6/2016,613.82
10/7/2016,617.91
10/8/2016,619.85
10/9/2016,619.2
10/10/2016,621.32
10/11/2016,642.08
10/12/2016,641.34
10/13/2016,638.83
10/14/2016,641.28
10/15/2016,642.1
10/16/2016,642.9
10/17/2016,642.33
10/18/2016,640.74
10/19/2016,638.87
10/20/2016,631.92
10/21/2016,634.09
10/22/2016,658.2
10/23/2016,661.13
10/24/2016,657.25
10/25/2016,664.42
10/26/2016,679.73
10/27/2016,688.59
10/28/2016,690.44
10/29/2016,720.4
10/30/2016,714.12
10/31/2016,709.29
11/1/2016,736.45
11/2/2016,740.83
11/3/2016,745.77
11/4/2016,706.93
